,masterid,mastermag,egfid,egfmag,station_number,fcmaster
98,38458799,3.45,38589903,2.82,7,5.853250627948893
99,38458799,3.45,38465399,2.44,1,13.235671001848745
100,38458799,3.45,38551607,2.35,6,8.38032367138741
101,38458799,3.45,38490471,2.21,4,6.3777602588371
102,38458799,3.45,38567831,2.17,5,4.215181327463567
103,38467391,3.45,38558175,2.91,15,9.38172484361562
104,38467391,3.45,38459103,2.86,5,3.9526899318850837
105,38467391,3.45,38569887,2.34,6,5.438321184262544
106,38467391,3.45,38490783,2.23,5,14.835929542337942
107,38467391,3.45,38463055,2.18,2,6.563526217761813
108,38467391,3.45,38493311,2.13,4,5.839820005978195
109,38467391,3.45,38462407,2.07,1,5.503676374572798
110,38467391,3.45,38462591,2.07,2,4.5994997979659145
111,38469215,3.45,38459783,2.25,3,41.36034726259184
112,38479903,3.45,38460559,2.43,2,3.93289624413158
113,38479903,3.45,38471615,2.38,5,10.207005702957563
114,38479903,3.45,38521207,2.26,7,5.7926140678929245
115,38443431,3.44,37422013,2.46,2,4.155829568862396
116,38443431,3.44,38448471,2.25,15,17.51009055186047
117,38444823,3.44,37223148,2.59,1,2.8674594913818567
118,38444823,3.44,37222876,2.57,4,33.694901024522906
119,38444823,3.44,38444703,2.17,4,36.58256871956931
120,38444823,3.44,38444695,2.09,11,9.190282582139995
121,38445015,3.44,38443495,2.61,8,11.806730124853567
122,38445015,3.44,38492023,2.44,1,5.380466957538732
123,38445015,3.44,38456591,2.14,7,6.709623470143614
124,38445015,3.44,38510311,2.12,6,9.507407764529496
125,37221444,3.44,38478183,2.81,4,6.981427416148499
126,37221444,3.44,37236068,2.52,1,13.704311964497645
127,38458223,3.44,38450735,2.49,12,5.680448448418944
128,38458223,3.44,38470343,2.08,1,3.6951946805187528
129,38458527,3.44,38551727,2.8,6,12.186676094772052
130,38458527,3.44,38561423,2.18,5,4.3124126102372164
131,38458527,3.44,38561847,2.16,4,6.614028939226763
132,38460743,3.44,38461687,2.53,5,9.242155211925853
133,38460743,3.44,38530879,2.05,6,15.807255153553818
134,38460743,3.44,38472751,2.01,4,6.69552678479221
135,37221636,3.43,37233116,2.14,1,3.901110172939989
136,37223156,3.42,38446823,2.13,6,7.904776900959785
137,38458903,3.42,38462167,2.9,2,1.7779181726249134
138,37222380,3.41,38454007,2.6,1,2.5662376140106367
139,38447191,3.41,38455047,2.28,2,2.1719355271358167
140,38447191,3.41,37235684,2.18,1,4.280004117710299
141,38453719,3.41,38451775,2.53,19,3.5747647248688734
142,38453719,3.41,38451839,2.02,11,8.138234998474807
143,38457791,3.41,38483967,2.28,5,4.742347211767052
144,38457791,3.41,38459783,2.25,3,4.8787184095969165
145,38457791,3.41,38483879,2.09,5,3.803202793663914
146,37224764,3.41,38467967,2.38,2,9.827539358833262
147,37224764,3.41,38460351,2.25,1,0.9767555902635022
148,37224764,3.41,38462455,2.18,1,3.2442089997573156
149,37224764,3.41,38469863,2.11,1,7.756399341785582
150,38461391,3.41,38461055,2.57,2,11.530091213713021
151,38461391,3.41,38462295,2.57,5,4.553807538912028
152,38461391,3.41,38467567,2.55,1,1.709629609456227
153,38461391,3.41,38478839,2.48,4,4.706060308246757
154,38461391,3.41,38462631,2.47,3,3.484922411738797
155,38461391,3.41,38461615,2.25,4,4.573752647679673
156,38461391,3.41,38466567,2.15,2,1.7250899176045935
157,38461391,3.41,38468639,2.11,4,9.79794465027191
158,38461391,3.41,38469863,2.11,4,10.186407790262901
159,38462559,3.41,37237444,2.44,2,7.902668039323285
160,38462559,3.41,38553367,2.1,9,8.496384489447292
161,38465367,3.41,38591295,2.05,5,9.474798238441707
162,38569055,3.41,38464543,2.38,2,5.693015304734422
163,37222556,3.4,38454007,2.6,5,3.7849336970451857
164,38446671,3.4,38443991,2.67,3,26.443179159524593
165,38446671,3.4,38449639,2.33,17,6.122455458120531
166,38446671,3.4,38444535,2.26,3,1.7959303453557047
167,37224988,3.4,38458727,2.71,2,12.140809281766144
168,37224988,3.4,38463775,2.59,2,2.2929300158040853
169,38459215,3.4,38494359,2.19,3,4.017420264263881
170,38459215,3.4,38507127,2.1,4,2.652212663987967
171,38444159,3.39,38458983,2.77,11,47.788857638978385
172,38445839,3.39,38443991,2.67,4,3.139370225731299
173,38445839,3.39,38444079,2.48,13,3.9645822633748176
174,38445839,3.39,37231724,2.41,9,2.774341900027568
175,38445839,3.39,38449639,2.33,20,4.419861355234773
176,38445839,3.39,38444535,2.26,4,6.551671957436589
177,38445839,3.39,38446855,2.25,8,5.9141694752246385
178,38445839,3.39,37232388,2.22,1,3.1601156106382557
179,38457839,3.39,38522103,2.2,5,3.440768134372665
180,38461151,3.39,37227324,2.74,1,1.6830525853168943
181,38461151,3.39,38463679,2.23,3,16.57177258959161
182,38474959,3.39,38533623,2.22,11,11.624681387286925
183,38474959,3.39,38489055,2.21,7,13.148073051428348
184,38474959,3.39,38531463,2.17,11,10.574681168674656
185,38443407,3.38,38444703,2.17,3,36.67850545639471
186,38443407,3.38,38444695,2.09,8,2.3097589158190615
187,38443487,3.38,38447319,2.07,12,11.726981850386387
188,38480559,3.38,38515111,2.75,8,10.668965034583671
189,38480559,3.38,38549951,2.13,7,7.110072282586268
190,38480559,3.38,38444583,2.08,12,7.882354034007773
191,37221460,3.37,37233724,2.42,4,3.398267935572016
192,38460727,3.37,38523967,2.23,6,15.421410803430454
193,38473119,3.37,38474631,2.05,2,9.37964515929045
194,38461703,3.36,38519839,2.85,6,13.810610236843432
195,38461703,3.36,38461959,2.3,2,12.61274531190698
196,38461703,3.36,38463103,2.2,3,19.238234358154138
197,38463831,3.36,38459103,2.86,5,10.613543802026216
198,38463831,3.36,38569887,2.34,7,6.2316433267048525
199,38463831,3.36,38490783,2.23,6,14.261964458470766
200,38463831,3.36,38463055,2.18,2,4.8512299089145605
201,38463831,3.36,38493311,2.13,5,10.234882754566405
202,38463831,3.36,38462407,2.07,1,4.87102939399621
203,38463831,3.36,38462591,2.07,2,3.859889519789616
204,38590983,3.36,38526839,2.32,5,4.543164444029582
205,38590983,3.36,37235676,2.24,1,2.5887621884185203
206,38444063,3.35,38444119,2.63,5,8.722165914983053
207,38450935,3.35,38445759,2.1,11,7.926691577022557
208,37227500,3.35,38458855,2.58,3,1.9221018973904012
209,38460415,3.35,38462311,2.8,3,2.115857775602218
210,38460415,3.35,38462567,2.71,6,4.535902173966637
211,38460415,3.35,38467079,2.26,6,2.8121016902496514
212,38460415,3.35,38479751,2.08,4,4.474464153751241
213,38591663,3.35,38516855,2.16,7,10.013779449187606
214,37222060,3.34,37227252,2.67,2,3.9420333136049632
215,37222060,3.34,38508599,2.54,4,4.125172539768894
216,37222060,3.34,38459575,2.46,6,5.75763166363419
217,37222060,3.34,38476903,2.1,2,5.572982423647113
218,38457935,3.34,38478503,2.52,2,5.798949498236662
219,38457935,3.34,38493415,2.08,1,6.7673839826638345
220,38458511,3.34,38459343,2.72,10,6.030890918745207
221,38458511,3.34,38475223,2.53,8,4.273935960541324
222,38458511,3.34,38471567,2.48,6,4.268309346939632
223,38459439,3.34,38459479,2.67,6,19.51155819779743
224,38443319,3.33,38478799,2.47,8,33.647256330126275
225,38443319,3.33,37232492,2.19,4,9.76642261066881
226,38443319,3.33,38460551,2.18,2,11.91468862434708
227,38443319,3.33,38549135,2.02,5,13.066564317564529
228,37225100,3.33,38458855,2.58,1,0.8941431383343926
229,38458767,3.33,38463471,2.67,6,7.387529413695986
230,38458767,3.33,38457247,2.12,5,5.3696008447700985
231,37235820,3.33,38505087,2.57,2,3.4048688571055834
232,37235820,3.33,38470127,2.5,1,4.359287139154129
233,37235820,3.33,38473591,2.11,2,2.9606843458589758
234,38507623,3.33,38460007,2.7,10,2.0726499287045375
235,38507623,3.33,38530855,2.4,8,6.255744064650496
236,38458479,3.32,38465031,2.72,5,5.655636629248854
237,38458479,3.32,38482743,2.21,7,10.617851497220506
238,38458479,3.32,38467327,2.07,3,6.554157208972102
239,38458479,3.32,38465055,2.05,6,6.192079290731621
240,38458479,3.32,38477399,2.05,3,8.223133625737054
241,38466711,3.32,38470279,2.75,4,5.897024492341715
242,38458943,3.31,38467783,2.8,5,2.4940385310908404
243,38458943,3.31,38497175,2.25,4,3.327706425240147
244,38465063,3.31,38476607,2.67,6,8.41681365732814
245,38493191,3.31,38492023,2.44,1,6.6407300879658875
246,38589319,3.31,38459431,2.39,8,13.535546419450416
247,38589319,3.31,38475399,2.18,5,14.725870767855008
248,37219884,3.3,38450447,2.52,1,10.566513463864398
249,38458383,3.3,37233676,2.31,2,3.207037187772272
250,37229124,3.3,38537735,2.48,2,12.978077425019562
251,37229124,3.3,37233212,2.13,1,7.564288855767833
252,38467359,3.3,38489007,2.43,8,5.884312572374376
253,38467359,3.3,38499207,2.34,6,5.760504006719881
254,38467359,3.3,38461247,2.23,1,3.9550950278591084
255,38471103,3.3,38466255,2.49,6,4.3322990746656505
256,38471103,3.3,38469167,2.37,7,7.923358480785215
257,38471103,3.3,38527351,2.36,3,11.238009876615955
